
BYMA argentina

Especie	Vol. Efectivo	Último Precio	Variación %
GGAL	397.608.803,00	115,35	0,92
YPFD	112.663.191,00	589,95	-2,81
BMA	109.339.801,00	231,45	0,63
ALUA	69.962.489,00	50,90	-5,21
PAMP	63.025.535,00	78,85	0,96
BBAR	56.208.207,00	142,30	-0,21
LOMA	51.899.858,00	156,95	2,62
EDN	49.348.891,00	29,05	10,04
SUPV	47.371.228,00	57,05	4,11


colcap

Fecha	Puntos	Var.%
16/10/2020	1.166,01	inf%
15/10/2020	0	nan%
14/10/2020	0	-100,00%
13/10/2020	1.170,72	-1,62%
09/10/2020	1.190,01	1,32%
08/10/2020	1.174,49	0,48%
07/10/2020	1.168,93	0
06/10/2020	1.168,93	0,08%
05/10/2020	1.168,04	0,26%
02/10/2020	1.165,01	-0,59%
01/10/2020	1.171,92	0,53%
30/09/2020	1.165,75	-0,93%
29/09/2020	1.176,66	0,45%
28/09/2020	1.171,35	0
25/09/2020	1.171,35	-0,77%
24/09/2020	1.180,49	0,09%


new york

Nombre	Precio		Var. (%)	Var. ($)	Volumen ($)	PER	Rent. /Div.	Hora
3M	169,680	baja	-0,77%	-1,310	27.352.405	0,00	0,00%	21:59
A.J.GALLAGHER	107,05	baja	-1,61%	-1,75	2.505.111	0,00	0,00%	21:59
A.O.SMITH CORP	54,97	baja	-0,70%	-0,39	2.009.757	0,00	0,00%	21:59
ABBOTT LABS	108,00	baja	-1,57%	-1,72	30.094.370	0,00	0,00%	21:59
ABBVIE	84,32	baja	-2,27%	-1,96	44.782.025	0,00	0,00%	21:59
ABERCROMBIE FTCH-A	39,34	sube	+0,51%	+0,20	0	0,00	0,00%	22:15
ACCENTURE	226,37	baja	-1,62%	-3,73	19.338.242	0,00	0,00%	21:59
ACE N	116,85	baja	-1,97%	-2,35	7.598.960	0,00	0,00%	21:59
ACUITY BRANDS	143,55	sube	+0,24%	+0,35	0	0,00	0,00%	22:15
ADT CORPORATION	41,98	sube	+0,07%	+0,03	0	0,00	0,00%	22:15
ADVANCE AUTO PARTS	153,06	baja	-1,25%	-1,94	4.094.798	0,00	0,00%	21:59
ADVANCED MICRO DEV.	3,68	baja	-1,08%	-0,04	0	0,00	0,00%	22:15
AES	19,90	baja	-0,05%	-0,01	11.092.959	0,00	0,00%	21:59
AETNA	212,70	sube	+0,33%	+0,70	0	0,00	0,00%	22:15
AFFILIATED MANAGERS	84,41	sube	+0,45%	+0,38	0	0,00	0,00%	22:15
AFLAC	36,48	baja	-1,96%	-0,73	6.026.428	0,00	0,00%	21:59
AGILENT TECH	105,54	baja	-1,11%	-1,18	2.610.927	0,00	0,00%	21:59
AGL RESOURCES	65,97	baja	-0,03%	-0,02	0	0,00	0,00%	22:15
AIR PROD.&CHEMICALS	294,12	baja	-1,32%	-3,94	11.129.206	0,00	0,00%	21:59
AIRGAS INC	142,95	sube	+0,00%	+0,00	0	0,00	0,00%	22:15
ALASKA AIR GROUP	39,59	sube	+0,56%	+0,22	4.136.689	0,00	0,00%	21:59
ALBEMARLE	92,59	baja	-0,87%	-0,81	2.226.748	0,00	0,00%	21:59
ALCOA	10,4000	sube	+1,96%	+0,2000	0	0,00	0,00%	22:15
ALCOA RG	9,67	sube	+1,68%	+0,16	869.087	0,00	0,00%	21:59
ALEXANDRIA REIT	158,74	baja	-2,06%	-3,34	5.529.234	0,00	0,00%	21:59
ALIBABA GRP SP ADS	93,89	sube	+0,00%	+0,00	0	0,00	0,00%	22:15
